time, flux, empty
3278.836870925, 1.001370667,
3278.857306664, 1.001237556,
3278.877742204, 1.001311554,
3278.898177843, 1.001268472,
3278.918613583, 1.001343164,
3278.939049123, 1.001178091,
3278.959484763, 1.001321461,
3278.979920503, 1.001293850,
3279.000356143, 1.001406426,
3279.020791684, 1.001403269,
3279.041227424, 1.001464841,
3279.061663064, 1.001298357,
3279.102534345, 1.001393165,
3279.122969986, 1.001456114,
3279.143405727, 1.001300099,
3279.163841268, 1.001439304,
3279.184276909, 1.001415476,
3279.204712650, 1.001440389,
3279.225148191, 1.001411911,
3279.245583832, 1.001387243,
3279.266019573, 1.001422212,
3279.286455115, 1.001321075,
3279.306890856, 1.001299739,
3279.347762039, 1.001413154,
3279.368197781, 1.001392224,
3279.388633423, 1.001279146,
3279.409069064, 1.001393507,
3279.429504706, 1.001297175,
3279.449940348, 1.001429478,
3279.470375990, 1.001326981,
3279.490811633, 1.001302440,
3279.511247275, 1.001538782,
3279.531682917, 1.001397334,
3279.552118560, 1.001051374,
3279.592989845, 1.001336245,
3279.633861130, 1.001230321,
3279.654296873, 1.001206904,
3279.674732416, 1.001142815,
3279.715603802, 1.001155344,
3279.736039345, 1.001366415,
3279.756474988, 1.001283912,
3279.776910731, 1.000682080,
3279.797346275, 1.002333177,
3279.838217662, 1.001155009,
3279.858653205, 1.001281475,
3279.879088949, 1.001238295,
3279.899524593, 1.001273603,
3279.919960136, 1.001216546,
3279.940395880, 1.001429898,
3279.960831524, 1.001274210,
3279.981267168, 1.001178979,
3280.001702812, 1.001267598,
3280.022138457, 1.001236977,
3280.042574201, 1.001163500,
3280.083445390, 1.001122672,
3280.103881134, 1.001051967,
3280.124316779, 1.001184638,
3280.144752323, 1.001190707,
3280.165188068, 1.001261466,
3280.185623713, 1.001173460,
3280.206059258, 1.001158161,
3280.226495003, 1.001010679,
3280.246930548, 1.000994155,
3280.267366293, 1.001053522,
3280.287801938, 1.001096206,
3280.308237483, 1.001188702,
3280.328673228, 1.001008917,
3280.349108874, 1.000942178,
3280.369544419, 1.000971407,
3280.389980164, 1.001016513,
3280.410415810, 1.000939457,
3280.430851356, 1.000947104,
3280.451287101, 1.000936281,
3280.471722747, 1.000959269,
3280.492158393, 1.000916474,
3280.512594039, 1.000889869,
3280.533029685, 1.000930237,
3280.573900977, 1.000916861,
3280.594336623, 1.000829271,
3280.614772369, 1.000809096,
3280.635208016, 1.000817699,
3280.655643562, 1.000848567,
3280.676079308, 1.000801136,
3280.696514955, 1.000838663,
3280.716950501, 1.000770969,
3280.737386248, 1.000682395,
3280.757821895, 1.000669206,
3280.778257642, 1.000757336,
3280.819128835, 1.000722739,
3280.839564582, 1.000598443,
3280.860000129, 1.000540187,
3280.880435776, 1.000564968,
3280.900871423, 1.000577490,
3280.921307071, 1.000498012,
3280.941742718, 1.000533131,
3280.962178465, 1.000330482,
3280.982614013, 1.000356752,
3281.003049760, 1.000412057,
3281.023485308, 0.999498076,
3281.064356703, 1.000235601,
3281.084792250, 1.000185419,
3281.105227898, 1.000220708,
3281.125663646, 1.000179805,
3281.146099294, 1.000175126,
3281.166534842, 1.000054583,
3281.186970590, 1.000096384,
3281.207406238, 0.999980595,
3281.227841786, 1.000023683,
3281.248277534, 1.000045958,
3281.268713182, 0.999179896,
3281.309584479, 0.999971651,
3281.330020128, 0.999817401,
3281.350455876, 0.999894783,
3281.370891425, 0.999972483,
3281.391327073, 0.999910119,
3281.411762822, 0.999817490,
3281.432198370, 0.999985394,
3281.452634019, 0.999898539,
3281.473069768, 0.999993322,
3281.493505317, 0.999696086,
3281.513941066, 0.999634358,
3281.554812264, 0.999782133,
3281.575248013, 0.999708669,
3281.595683662, 0.999681249,
3281.616119311, 0.999697790,
3281.636554960, 0.999696696,
3281.656990610, 0.999632914,
3281.677426259, 0.999482033,
3281.820475806, 0.999452580,
3281.840911456, 0.999413816,
3281.861347206, 0.999492839,
3281.881782756, 0.999360892,
3281.902218406, 0.999390383,
3281.922654156, 0.999280060,
3281.963525356, 0.999195753,
3281.983961106, 0.999240428,
3282.004396656, 0.999131312,
3282.045268056, 0.999217468,
3282.065703607, 0.999036304,
3282.086139357, 0.998901183,
3282.106575008, 0.998948068,
3282.127010658, 0.998954937,
3282.147446309, 0.998898568,
3282.167881959, 0.998934581,
3282.188317610, 0.998915719,
3282.208753260, 0.998764200,
3282.229188911, 0.998837890,
3282.249624662, 0.998816105,
3282.290495863, 0.998764812,
3282.310931514, 0.998811370,
